Murcko_scafold,count,source
O=S(=O)(c1ccccc1)c1nc(-c2ccccc2)oc1NC[C@H]1CCCO1,10,RNA non-binders
c1ccc(Nc2c(-c3ccccn3)nc3ccccn23)cc1,10,RNA non-binders
O=C1c2cccnc2[C@@H](Nc2ccccc2)N1c1ccccc1,10,RNA non-binders
O=C1CCCC2=C1[C@H](c1ccsc1)C=CN2c1ccccc1,10,RNA non-binders
c1ccc(CNCc2cccnc2)cc1,10,RNA non-binders
O=S(=O)(NCCCn1c2ccccc2c2ccccc21)c1ccccc1,10,RNA non-binders
O=c1ccnc[nH]1,10,RNA non-binders
C1=C[C@@H](c2ccccc2)c2ccccc2O1,9,RNA non-binders
c1ccc2occc2c1,9,RNA non-binders
N=c1ccnc2c3cccnc3[nH]n12,9,RNA non-binders
O=c1[nH]cnc2c1C1(CCCCC1)Cc1ccccc1-2,9,RNA non-binders
O=C1C(Nc2ccccc2)=CCN1c1ccccc1,9,RNA non-binders
c1ccc(NCc2nc3ccccc3n2CCOc2ccccc2)cc1,9,RNA non-binders
O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,9,RNA non-binders
O=C1CCCC2=C1[C@H](c1ccccc1)C=CN2c1ccccc1,9,RNA non-binders
c1ccc(Nc2nc(N3CCCCC3)nc3[nH]ncc23)cc1,9,RNA non-binders
c1ccc(-c2cccnc2)cc1,9,RNA non-binders
O=C1OCC2=C1[C@]1(C=CN2c2ccccc2)C(=O)N(Cc2ccccc2)c2ccccc21,9,RNA non-binders
O=S(=O)(c1ccccc1)c1nnn2c1ncc1ccccc12,9,RNA non-binders
c1cnc2ncnn2c1,9,RNA non-binders
c1ccc2[nH]c(-c3cnon3)nc2c1,9,RNA non-binders
C1=C[C@@H](c2ccccc2)c2c(ccc3ccccc23)O1,9,RNA non-binders
O=S(=O)(Nc1ccccc1CNc1ccccc1)c1ccccc1,9,RNA non-binders
O=S(=O)(c1ccc(-c2ncco2)cc1)N1CCCC1,9,RNA non-binders
c1ccc(-c2nc[nH]c2-c2ccccc2)cc1,9,RNA non-binders
c1ccc(-c2cc3nccc(NCCN4CCOCC4)n3n2)cc1,9,RNA non-binders
c1ccc(OCc2nc(-c3cnon3)no2)cc1,9,RNA non-binders
O=C1CCC(c2csc(Nc3ccccc3)n2)O1,9,RNA non-binders
c1ccc(-c2ccsc2)cc1,9,RNA non-binders
c1ccc(CSc2ncn(-c3ncncn3)n2)cc1,9,RNA non-binders
c1ccc(N2CCNCC2)cc1,8,RNA non-binders
O=C(Nc1ccccc1)c1cnn(C(=O)c2ccccc2)c1,8,RNA non-binders
O=C(Nc1ccccc1)N1CCCN(C(=O)c2cnon2)CC1,8,RNA non-binders
c1ccc(Nc2ccnc3cc(-c4ccccc4)nn23)cc1,8,RNA non-binders
