CSK_scafold,count,source
C1CCC(C2CCC(CCCC3CCCC3)C2)CC1,3,RNA binders
C1CCC(CCCC2C3CCCCC3CC3CCCCC32)C1,2,RNA binders
C1CCC(CCC2CCC3CCCC32)CC1,2,RNA binders
C1CCC(C2CCC3C(CCC3C3CCCCC3)C2)CC1,2,RNA binders
C1CCC(CCCCC2CCC3(CCCCC3)C2)CC1,2,RNA binders
C1CCC(CCC2CCCC2CC2CCCCC2)CC1,2,RNA binders
C1CCC(CCCC2C3CCCCC3C3CCCCC32)C1,2,RNA binders
C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1,2,RNA binders
C1CCC(C2CCC(CC3CCC4CCCCC4C3)CC2)CC1,2,RNA binders
C1CCC(CCCC2CCC(CCC3CCCCC3)CC2)CC1,2,RNA binders
C1CCC(CCCCC2CCCC2)C1,2,RNA binders
C1CCC(CC2CC(C3CCCCC3)CC3CCCCC32)CC1,2,RNA binders
C1CCC(CCCC2CCCC3CC4CCCCC4C23)CC1,2,RNA binders
C1CCC(CC(C2CCCCC2)C2CCC(C3CCCCC3)C2)CC1,2,RNA binders
C1CCC(CCC2CCC3C(C2)CC2CCCCC23)CC1,2,RNA binders
C1CCC(CC2CCC(CC3CCC(C4CCCCC4)C3)CC2)CC1,2,RNA binders
C1CCC(CCC2CCCC3CCC(C4CCCCC4)C23)CC1,2,RNA binders
C1CCC(C2CCCC2C2CCCCC2)CC1,2,RNA binders
C(CCCCC1CCCC1)CCCC1CCCCC1,2,RNA binders
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,2,RNA binders
C1CCC(CCCCC2CCCC3CCCC23)CC1,2,RNA binders
C1CCC(CCCCC2CC3CCCCC3C2)C1,2,RNA binders
C(CCCC1CCCCC1)CCCC1CCCCC1,2,RNA binders
C1CCC(CCC2CCCC(CCC3CCCCC3)C2)CC1,2,RNA binders
C1CCC(C2CC2)CC1,2,RNA binders
C1CCC(CC2CCCC3C4CCCCC4CC23)C1,2,RNA binders
C1CCC(CCCC2CCC3CCCCC32)C1,2,RNA binders
C1CCC(C2CCCC2C2CCCC2)CC1,2,RNA binders
C1CCC(CCCC2CCC(C3CCCC3)C2)CC1,2,RNA binders
C1CCC(C2CC(C3CCCC3)CC3CCCCCC32)CC1,2,RNA binders
C1CCC(C2CCC3CCCC(CCCC4CCCC4)C32)CC1,2,RNA binders
C1CCC(C2CC3C(C2)C2C4CCCCC4C3C3CCCCC32)CC1,2,RNA binders
C(CCC1CCCC1)CCC1CCCC2CCCCC12,2,RNA binders
C1CCC(CCC2CCC3CCCC3C2)C1,2,RNA binders
C1CCC(C2CCC(CC3CCCC4CCCC43)CC2)CC1,2,RNA binders
C1CCC(C2CCC3CC4CCCCC4CC3C2)CC1,2,RNA binders
C1CCC2CCCC2CC1,2,RNA binders
C1CCC2C(C1)CCC1C(C3CCCC3)CCCC21,2,RNA binders
C1CCC(CCCC2CCC(C3CCCC(C4CCCC4)C3)CC2)C1,2,RNA binders
C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,2,RNA binders
C1CCC(C2CCCC3CC4CCCCC4CC32)CC1,2,RNA binders
