Murcko_scafold,count,source
c1ccc(CCNCCCOc2ccccc2)cc1,1,RNA binders
c1cc2c(c(-c3cnc4ccccc4n3)c1)OCC2,1,RNA binders
c1ccc(CNc2ccc(N3CCOCC3)cc2)cc1,1,RNA binders
O=S(=O)(c1ccccc1)c1nc(-c2ccco2)oc1NCCN1CCOCC1,1,RNA binders
O=S(=O)(Nc1nc2ccccc2nc1Nc1ccccc1)c1ccccc1,1,RNA binders
O=C(NCc1ccccc1)[C@H](Sc1nc[nH]n1)c1ccccc1,1,RNA binders
O=C(Nc1ccccc1)c1cc2c(-c3ccccc3)ccnc2s1,1,RNA binders
c1cc(N2CCN(c3ncnc4[nH]cnc34)CC2)ncn1,1,RNA binders
O=C(c1ccccc1)c1cccc(Sc2cccc(C(=O)c3ccccc3)c2)c1,1,RNA binders
O=C(Nc1ccccc1)Nc1ccc(Oc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,1,RNA binders
c1cc(OCCCN2CCCCC2)c2sccc2c1,1,RNA binders
c1coc(-c2cc(CNc3ncnc4sc5c(c34)CCNC5)no2)c1,1,RNA binders
O=C(c1ccc(-c2ccccc2)cc1)N1CCCC1,1,RNA binders
c1cnc(N2CCN(Cc3cc4n(n3)CCNC4)CC2)nc1,1,RNA binders
O=C(NC[C@@H]1CCCN1)c1cccc(N2Cc3ccccc3C2)c1,1,RNA binders
O=S(=O)(c1ccccc1)c1cnc2ccccc2c1Nc1ccccc1,1,RNA binders
O=C(c1cc[nH]n1)N1C[C@H](c2ccccc2)[C@@H]2[C@H]1[C@H]1CC[N@]2CC1,1,RNA binders
O=C([C@@H]1CNCCO1)N1CCc2sccc2C1,1,RNA binders
c1cc2c(cc1CNCc1cc(-c3ccc4c(c3)OCO4)no1)OCO2,1,RNA binders
c1ccc2c(CNc3ncnc4c3CCNC4)n[nH]c2c1,1,RNA binders
c1cn(CCNC2CCN(c3ccnc(N4CCCC4)n3)CC2)cn1,1,RNA binders
O=C1CN(c2ccc(N3CCCCC3)cc2)C=C1c1nc2ccccc2[nH]1,1,RNA binders
O=C(c1c[nH]nn1)N1CCC(c2ccccc2)(c2ccccc2)CC1,1,RNA binders
O=C(CCn1cnc2ccccc21)N1CC[C@H](CN2CCOCC2)C1,1,RNA binders
O=C1N[C@@H]2CC[C@H]1CN(Cc1ncnc(Nc3ccccc3)n1)C2,1,RNA binders
c1ccc(-c2nc[nH]c2-c2cc(CN3CCCC3)cs2)cc1,1,RNA binders
c1ccc(CNc2ncnc3c2CCNCC3)cc1,1,RNA binders
O=C(NCc1ccccc1)c1ccon1,1,RNA binders
O=S(=O)(c1ccccc1)N(CCCN1CCCCC1)c1cccc2ccccc12,1,RNA binders
c1ccc(-c2nc[nH]c2-c2c[nH]cn2)cc1,1,RNA binders
c1cc2c(cc1CN1CC[C@H](CN3CCCCCC3)C1)OCCO2,1,RNA binders
c1cncc(CNc2ncnc(N3CCOCC3)n2)c1,1,RNA binders
c1ccc2c3c([nH]c2c1)CCN(c1[nH]cnc2ncnc1-2)C3,1,RNA binders
c1ccc(CNc2ncnc3[nH]ncc23)cc1,1,RNA binders
O=S1(=O)C=Cc2ccccc21,1,RNA binders
O=C1c2ccccc2C(=O)c2c(NCCN3CCOCC3)cccc21,1,RNA binders
O=C(NCCN1CC1)Nc1ccccc1,1,RNA binders
c1ccc(-c2ccc(CNCc3cccnc3)o2)cc1,1,RNA binders
c1ccc(NCCSc2nc3ccccc3s2)cc1,1,RNA binders
O=C(CCc1cc2n(n1)CCCNC2)N[C@@H](CCn1cncn1)c1ccccc1,1,RNA binders
c1nc(N2C[C@@H]3CC[C@H]2C3)c2ccsc2n1,1,RNA binders
C1=C2C(=Nc3ccccc3N[C@@H]2c2c[nH]c3ccccc23)C[C@@H](c2ccccc2)C1,1,RNA binders
O=C(N[C@H]1CCCN(Cc2ccccc2)C1)c1c[nH]nn1,1,RNA binders
c1ccc(-c2cccc3ccnn23)cc1,1,RNA binders
O=C(NCc1noc(-c2ccc3c(c2)OCO3)n1)c1c[nH]nn1,1,RNA binders
O=C(C1CCNCC1)N1CCN(c2ccccc2)CC1,1,RNA binders
O=[AsH](c1ccccc1)c1ccccc1,1,RNA binders
c1ccc(-c2cc(-c3nnco3)no2)cc1,1,RNA binders
O=C1Nc2ccccc2[C@@]12C=COc1n[nH]cc12,1,RNA binders
c1c2c(nc3c1CCC3)CCCC2,1,RNA binders
c1cc(CN2CCOCC2)cc(-c2ccc(CN3CCNCC3)cc2)c1,1,RNA binders
c1ccc(OCCC2CCCN(c3nnnn3-c3ccccc3)C2)cc1,1,RNA binders
O=C1Nc2ccccc2[C@@]12C=COc1c2c(=O)oc2ccccc12,1,RNA binders
c1ccc(CN2CC[C@H](c3ccccc3)C2)cc1,1,RNA binders
c1cc(CCNCc2ccc(OCCN3CCCC3)cc2)[nH]n1,1,RNA binders
c1ccc(-c2cn(CCN3CCNCC3)nn2)cc1,1,RNA binders
c1ccc(CNC[C@H]2COc3ccccc3O2)cc1,1,RNA binders
O=C(NCc1ncc[nH]1)c1cccc([C@H]2CCCNC2)c1,1,RNA binders
O=C(Cn1c(C2CC2)nc2ccccc21)NCc1cc2n(n1)CCNC2,1,RNA binders
O=C(c1ccco1)N1CCN(CCCN2CCn3c4c(c5ccccc53)CCC[C@@H]42)CC1,1,RNA binders
O=C([C@@H]1CNCCO1)N1CCC(c2cc(Cc3ccccc3)n[nH]2)CC1,1,RNA binders
c1cc(CN2CCCN(c3ccncn3)CC2)ccn1,1,RNA binders
c1ccc(Oc2ccc(-n3cccn3)cc2)cc1,1,RNA binders
O=C(OCc1nc2ccccc2[nH]1)c1ccccc1,1,RNA binders
O=C(CSc1nnc[nH]1)N1CC[C@H](CN2CCCC2)C1,1,RNA binders
O=C(CSc1nc[nH]n1)c1ccccc1,1,RNA binders
O=C(CNc1cccc2ccccc12)N/N=C\c1ccccc1,1,RNA binders
O=C(NNCCCn1c2ccccc2c2ccccc21)c1ccccc1,1,RNA binders
c1ccc(COc2ccc(CNc3nccs3)cc2)cc1,1,RNA binders
c1ccc(-c2cc(NCCN3CCOCC3)ncn2)cc1,1,RNA binders
c1cncc(NCCCNCC2CCNC2)c1,1,RNA binders
c1coc(-c2n[nH]c(CCc3ccc4c(c3)OCO4)n2)c1,1,RNA binders
O=C1NC(=O)C(=Cc2csc3ccccc23)C(=O)N1,1,RNA binders
O=C(NCCn1ccnc1-c1cc2n(n1)CCCNC2)c1ccccc1,1,RNA binders
O=c1[nH]c2ccc(CNc3ccccc3)cc2[nH]1,1,RNA binders
O=C(c1ccnc2ccccc12)N1CC[C@H](CN2CCCNCC2)C1,1,RNA binders
c1ccc2c(c1)nc1cc(-c3ccc4c(c3)OCO4)ccn12,1,RNA binders
c1ccc(Cn2cnc(-c3nc(-c4ccccc4)no3)c2)cc1,1,RNA binders
c1ccc(CCNc2nc(-c3c[nH]c4ccccc34)cs2)cc1,1,RNA binders
O=C(NCCOCc1ccccc1)[C@@]12CNC[C@@H]1CN(C1CCCC1)C2,1,RNA binders
N=c1[nH]c(=S)[nH]cc1-c1ccccc1,1,RNA binders
O=C(Nc1ccccc1)c1cccc(NC(=O)[C@@H]2C=CCN2)c1,1,RNA binders
O=S(=O)(c1ccccc1)N1CCC(c2nc(-c3ccccc3)no2)CC1,1,RNA binders
O=C(N[C@H]1CCNC1)c1cc(-c2ccccc2)nc2ccccc12,1,RNA binders
c1ccc(-c2cnn3c(NC[C@@H]4CCCO4)ccnc23)cc1,1,RNA binders
O=c1[nH]cnc2sc3c(c12)CCCC3,1,RNA binders
c1ccc(-c2nc3cc(NCc4cccs4)ccc3o2)cc1,1,RNA binders
c1ccc(-n2ccc3nc4ccccc4nc32)cc1,1,RNA binders
O=C1CC[C@H]2CN(Cc3cn[nH]c3)CC[C@H]2N1,1,RNA binders
c1ccc(-c2cc([C@H]3CCCNC3)ccn2)cc1,1,RNA binders
O=C(c1c[nH]nn1)N1CCCC[C@@H]1CCc1ncc[nH]1,1,RNA binders
O=C(c1ccccc1)c1ccc2nc(-c3ccccc3)[nH]c2c1,1,RNA binders
c1ccc(-c2nc3c(c(N4CCOCC4)n2)CCNC3)cc1,1,RNA binders
O=C(N[C@@H]1CCNC1)c1cncnc1,1,RNA binders
O=c1[nH]c2ccccc2nc1Cc1ccccc1,1,RNA binders
c1ccc(C2CC2)cc1,1,RNA binders
c1ccc(CN2CCC(C3CCOCC3)CC2)cc1,1,RNA binders
c1ccc(-c2cn[nH]c2)cc1,1,RNA binders
O=c1cc(N2CCCC2)cnn1Cc1ccco1,1,RNA binders
O=C(CCc1cnc[nH]1)NCC1CCN(CCc2ccccc2)CC1,1,RNA binders
O=C(Nc1ccccc1)Oc1ccccc1,1,RNA binders
c1cc(-c2ccnc3[nH]ccc23)cc([C@@H]2CCCN2)c1,1,RNA binders
c1ccc(CN2CCCN(c3ccccn3)CC2)cc1,1,RNA binders
c1c[nH]c(-c2cc(-c3ccc(OCCn4ccnc4)cc3)ccn2)c1,1,RNA binders
C1=C[C@@H](c2cccs2)c2ccc3ccccc3c2O1,1,RNA binders
O=C1CCC(c2csc(Nc3ccccc3)n2)O1,1,RNA binders
S=C1OC(c2ccccc2)=C/C1=C\Nc1ccccc1,1,RNA binders
O=C(Nc1ccccc1)c1cn[nH]c1NCc1ccccc1,1,RNA binders
O=S1(=O)N=C(NCCc2ccccc2)C=C1c1ccccc1,1,RNA binders
c1ccc(CCNc2nccc(-c3ccco3)n2)cc1,1,RNA binders
c1ccc(OCCN2CCN(CCCn3c4ccccc4c4ccccc43)CC2)cc1,1,RNA binders
O=C(c1cc[nH]n1)N1CCc2onc(-c3cccc4ccccc34)c2C1,1,RNA binders
c1nc(N2CCNCC2)cc(N2CCC[C@H](CN3CCCCC3)C2)n1,1,RNA binders
c1ccc(N2CCCCC2)cc1,1,RNA binders
O=C1CC[C@H]2CN(C(=O)CCc3ccco3)CC[C@H]2N1,1,RNA binders
O=c1ccoc2c1OC=C[C@@H]2c1ccccc1,1,RNA binders
O=C(COc1ccc(CNCc2cnccn2)cc1)N1CCOCC1,1,RNA binders
c1ccc(CN2CCC(N[C@H]3CCOC4(CCOCC4)C3)CC2)cc1,1,RNA binders
c1ccc(CNCCOCc2ccccc2)cc1,1,RNA binders
O=S(=O)(Nc1ccccc1CNc1cnc2ccccc2c1)c1ccccc1,1,RNA binders
O=C(NCc1cc(-c2ccccc2)n[nH]1)c1c[nH]nn1,1,RNA binders
C1=C[C@@H](c2ccccc2)C2=CCCCC2=N1,1,RNA binders
O=C(CCCN1Cc2ccccc2C1)N1CCOCC1,1,RNA binders
c1ccc(N2CCN(C3CCNCC3)CC2)cc1,1,RNA binders
c1cn2c(CN3CCCC4(CCNCC4)CC3)cnc2s1,1,RNA binders
O=C1C=C(Nc2cc(-c3ccccc3)n[nH]2)CCC1,1,RNA binders
O=C(c1ccccc1)c1cc2ccccc2o1,1,RNA binders
c1ccc(-c2ccc3ccccc3c2)cc1,1,RNA binders
C1CCC(CNCC2CCCC2)CC1,1,RNA binders
O=C(CCc1cnc[nH]1)NCc1cccc2cc(-c3ccccc3)[nH]c12,1,RNA binders
O=C1C[C@H](NCCC2=CCCCC2)C(=O)N1c1ccccc1,1,RNA binders
c1ccc(CCNc2nc(-c3cccs3)cs2)cc1,1,RNA binders
O=C(NCc1cnoc1)c1cn(CC[C@H]2CCCCN2)nn1,1,RNA binders
S=C(Nc1ccccc1)Nc1ccccc1,1,RNA binders
O=C(Cc1cn[nH]c1)N1CCC(CCCc2ccccc2)CC1,1,RNA binders
c1ccc(-c2ncnn2-c2ccccc2)cc1,1,RNA binders
c1ccc(CCCCc2ccccc2)cc1,1,RNA binders
O=C1CCNC(=S)N1c1ccccc1,1,RNA binders
c1ccc(-c2cc(-c3ccccc3)c3ccsc3n2)cc1,1,RNA binders
c1ccc(-c2cnn3ccnnc23)cc1,1,RNA binders
O=C(Nc1cccc(NC(=O)N2CCCCC2)c1)N1CCCCC1,1,RNA binders
c1ccc(Nc2ccnc(-c3ccccc3)n2)cc1,1,RNA binders
O=S(=O)(c1ccc(-c2ccno2)s1)N1CCCC1,1,RNA binders
c1ccc(CNc2ncc3ccccc3n2)cc1,1,RNA binders
O=C(CCN1CCNCC1)Nc1ccc2c(c1)CCC2,1,RNA binders
c1ccc2c(c1)CCN2CCCNC1CCN(c2ccncn2)CC1,1,RNA binders
c1ccc(NCc2c[nH]c3ccccc23)cc1,1,RNA binders
c1ccc(Sc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,1,RNA binders
