CSK_scafold,count,source
C1CCC(C2CCC(CCCC3CCCC3)CC2)CC1,27,RNA non-binders
C1CCC(C2CCCC2C2CCCC2)CC1,27,RNA non-binders
C1CCC(CC2CCC(CC3CCCC3)C2)CC1,26,RNA non-binders
C1CCC(C2CCC3CC4CCCCC4CC3C2)CC1,26,RNA non-binders
C1CCC(C2CCCC(C3CCCC3)C2)C1,25,RNA non-binders
C1CCC(C2CCC(CCC3CCCC3)CC2)CC1,25,RNA non-binders
C1CCC(CCC2CCCC2)C1,25,RNA non-binders
C1CCC2C(C1)CCCC2C1CCCC1,25,RNA non-binders
C1CCC(C2CCCC(CCC3CCCC3)C2)CC1,25,RNA non-binders
C1CCC(CC2CC3CCCCC3C2CC2CCCCC2)CC1,24,RNA non-binders
C1CCC(CC2CCC(CCCC3CCCC3)C2)CC1,24,RNA non-binders
C(CCC1CCCC1)CCC1CCCC1,24,RNA non-binders
C1CCC(C2CCC3C(CCC3C3CCCCC3)C2)CC1,24,RNA non-binders
C1CCC(CCCC2CCCC2CC2CCCCC2)CC1,23,RNA non-binders
C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1,23,RNA non-binders
C1CCC2(CC1)CCC(CC1CCCC1)CC2,23,RNA non-binders
C1CCC(C2CCC(CC3CCC(C4CCCCC4)C3)CC2)CC1,22,RNA non-binders
C1CC2CCCC2C1,22,RNA non-binders
C1CCC(C2CCC3C4CCCCC4CCC23)CC1,22,RNA non-binders
C1CCC(CCC2CCC(C3CCCC3)CC2)CC1,22,RNA non-binders
C1CCC(C2CCC(CCC3CCC4CCCC4C3)CC2)CC1,22,RNA non-binders
C1CCC(CCCCC2CCC3CCCCC3C2)CC1,22,RNA non-binders
C1CCC(CCCCC2CC3CCCCC3C2)CC1,22,RNA non-binders
C1CCC(CCCCC2CCCC3CCCCC23)CC1,21,RNA non-binders
C1CCC(CCCC2C3CCCCC3CC2C2CCCC2)CC1,21,RNA non-binders
C1CCC(CC2CCC(CCC3CCCC3)C2)CC1,21,RNA non-binders
C1CCC(CCC2CCC2C2CCCCC2)CC1,21,RNA non-binders
C1CCC2C(C1)CCC1CCCCC12,21,RNA non-binders
C1CCC(CCC2CCCC3C(C4CCCCC4)CCC23)CC1,20,RNA non-binders
C1CCC(CCC2CCCC3CCCCC32)C1,20,RNA non-binders
C1CCC(C2CC3CC4CCCCC4C3C2)CC1,20,RNA non-binders
C1CCC(CCCC2CCCC3CCCC23)CC1,20,RNA non-binders
C1CCC(CCC2CCC3CCCC3C2)C1,20,RNA non-binders
C1CCC(CC2CCC3CCCC3C2)C1,20,RNA non-binders
C1CCC(C2CC3CCCC3C2)CC1,19,RNA non-binders
C1CCC(CCC2CCC3C(CCC3C3CCCCC3)C2)CC1,19,RNA non-binders
C1CCC(CCCCC2(C3CCCCC3)CCCCC2)CC1,19,RNA non-binders
C1CCC2CC3C(CC2C1)CC1CCCCC13,19,RNA non-binders
C(CCCC1CCCCC1)CCCC1CCCCC1,19,RNA non-binders
C1CCC(CCC2CC(CC3CCCCC3)C3CCCCC23)CC1,19,RNA non-binders
C1CCC(CCCC2CCC(CC3CCCCC3)CC2)CC1,19,RNA non-binders
C1CCC(CCC2CCC3CCCCC3C2)C1,19,RNA non-binders
C1CCC(C2CCCC3CC4CCCC4CC32)CC1,19,RNA non-binders
C1CCC2CC(CC3CCC4CCCCC43)CCC2C1,18,RNA non-binders
C1CCC(CCCC2CCC3CCCC3C2)C1,18,RNA non-binders
C1CCC(CC2CCC3CC4CCCCC4CC23)CC1,18,RNA non-binders
C1CCC(CCC2CC3CC4CCCCC4CC3C2)CC1,18,RNA non-binders
C1CCC(CCCCC2CCCC2)C1,18,RNA non-binders
C1CCC(CC2CCCC3C4CCCCCC4CC23)CC1,18,RNA non-binders
C1CCC(CC2CCCC(CC3CCCC3)C2)CC1,18,RNA non-binders
C1CCC(CCCCCC2CCC(C3CCCCC3)C2)CC1,18,RNA non-binders
C1CCC(CCCCCC2CC3CCCCC3C2)CC1,17,RNA non-binders
C1CCC(C2CCC(C3CCCCC3)C3CCCCC23)CC1,17,RNA non-binders
C1CCC(C2CCC(CCCCC3CCCC3)C2)CC1,17,RNA non-binders
C1CCC(CCC2CC3CCC(C4CCCCC4)CC3C2)CC1,17,RNA non-binders
C1CCC(CCCCC2CCC3CCCCC3C2)C1,17,RNA non-binders
C1CCC(CC2CC3CCCCC3CC2C2CCCC2)CC1,17,RNA non-binders
C1CCC(C2CCC(C3CCCC3)CC2)CC1,17,RNA non-binders
C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,17,RNA non-binders
C1CCCC(CCC2CCCCC2)CC1,17,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)CC3CCCCC32)CC1,17,RNA non-binders
C1CCC(C2CCCC3CCC(C4CCCCC4)C32)CC1,16,RNA non-binders
C1CCC2C(C1)CC1CCCC12,16,RNA non-binders
C1CCC(CC2CC(CCCC3CCCC3)C3CCCCC23)CC1,16,RNA non-binders
C1CCC(CC2CC3CC4CCCCC4CC3C2)CC1,16,RNA non-binders
C1CCC(CC2CCC(C3CCC4CCCCC43)C2)CC1,16,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)CC2CC2CC2)CC1,16,RNA non-binders
C1CCC(CCCC2CC3CCCCC3C2)C1,16,RNA non-binders
C1CCCC(CC2CCC(C3CCCCC3)C2)CC1,16,RNA non-binders
C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,16,RNA non-binders
C1CCC(CCCC2CCCCC23CCC2CCCCC23)CC1,15,RNA non-binders
C1CCC(CCCC2CCCC3CCCCC32)C1,15,RNA non-binders
C1CCC(CC2C3CCCCC3CC3CCCC32)CC1,15,RNA non-binders
C1CCC(C2CCCC(CCCC3CCCC3)C2)CC1,15,RNA non-binders
C1CCC(C2CCC3CCCC3C2)C1,15,RNA non-binders
C1CCC(CCCCC2CCC3CCCCC23)C1,15,RNA non-binders
C1CCC(CC2CC3CCCCC3C2)C1,15,RNA non-binders
C1CCC(CC2CC3CCCC(CC4CCCCC4)C3C2)CC1,15,RNA non-binders
C1CCC(C2CC3CCCC(C4CCCCC4)C3C2)CC1,15,RNA non-binders
C1CCC2CC(CC3C4CCCCC4CC3C3CCCC3)CCC2C1,15,RNA non-binders
C1CCC(CC2CCCC(CCCCC3CCCC3)C2)CC1,15,RNA non-binders
C1CCC(CCCCCC2CCC3CCCCC3C2)CC1,15,RNA non-binders
C1CCC(CCCC2CCC2C2CCCCC2)CC1,15,RNA non-binders
C1CCC(CCCCC2CCC(CC3CCCCC3)CC2)CC1,15,RNA non-binders
C1CCC(CCC2C(CC3CCCCC3)CCC3CCCCC32)CC1,15,RNA non-binders
C1CCC(CC2CCC3(CCCCC3)CC2)CC1,15,RNA non-binders
C1CCC2(CC1)CCCC2,15,RNA non-binders
C1CCC(CC2CCCC(CCCC3CCCC3)C2)CC1,15,RNA non-binders
C1CCC(CCCC2CCC(CCC3CCCCC3)CC2)CC1,15,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)CC3CCCC32)CC1,14,RNA non-binders
C1CCC(CC2CCCCC2C2CCCCC2)CC1,14,RNA non-binders
C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,14,RNA non-binders
C1CCC(CC2CCC(C3CCC4(CCCC4)C3)C2)CC1,14,RNA non-binders
C1CCC(CCC2CCCCC2CCC2CCCCC2)CC1,14,RNA non-binders
C1CCC(CCCC2CCC(C3CCCC3)CC2)CC1,14,RNA non-binders
C1CCC(CCC2CC3CCCCC3C2)C1,14,RNA non-binders
C1CCC(C2CCC3CC(C4CCCCC4)CC3C2)CC1,14,RNA non-binders
C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1,14,RNA non-binders
C1CCCC(CC2CCC(CC3CCCCC3)C2)CC1,14,RNA non-binders
C1CCC(CCC2CCCC2C2CCCCC2)CC1,13,RNA non-binders
C1CCC(CCCC2CCCC3CC(C4CCCCC4)CC23)CC1,13,RNA non-binders
