CSK_scafold,count,source
C1CCC(CCCCC2CCC(CCC3CCCCC3)C2)CC1,21,Zinc dark matter
C(CCCCC1CCCC1)CCCC1CCCCC1,21,Zinc dark matter
C1CCC(CCCCC2CCCC2C2CCCCC2)CC1,21,Zinc dark matter
C1CCC(CC2CCCC(C3CCCC3)C2)C1,21,Zinc dark matter
C1CCC(CCCC2CCCC2C2CCCCC2)CC1,21,Zinc dark matter
C1CCC(C2CCCC(CCCC3CCCC3)C2)CC1,21,Zinc dark matter
C1CCC(C2CCC3CCCC3C2)C1,20,Zinc dark matter
C1CCC(CC2CCC3CCCC3C2)C1,20,Zinc dark matter
C1CCC(CCC2CCC3CCCCC3C2)C1,20,Zinc dark matter
C1CCC(C2CC2)C1,20,Zinc dark matter
C1CCC2CC3CCCCC3CC2C1,20,Zinc dark matter
C1CCC(CC2CCCC2C2CCCC2)CC1,19,Zinc dark matter
C1CCC2(CC1)CCCC2,19,Zinc dark matter
C1CCC(CCCCCCC2CCC(C3CCCCC3)C2)CC1,19,Zinc dark matter
C1CCC(CCCCC2CCC(CC3CCCC(C4CCCCC4)C3)CC2)CC1,19,Zinc dark matter
C1CCC(CC2CCC(C3CCCC3)CC2)C1,19,Zinc dark matter
C1CCC2C(C1)CCC1CCCCC12,19,Zinc dark matter
C1CCC(C2CC3C(C2)C2C4CCCCC4C3C3CCCCC32)CC1,19,Zinc dark matter
C1CCCC(CC2CCCCC2)CC1,19,Zinc dark matter
C1CCC(CC2CCCCC2C2CCCCC2)CC1,19,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCC3)CC2)CC1,19,Zinc dark matter
C1CCC(CC2CC2C2CCCCC2)CC1,19,Zinc dark matter
C1CCC(CC2CCC(CC3CCCCC3)CC2)CC1,18,Zinc dark matter
C1CCC(CCCC2CC2)CC1,18,Zinc dark matter
C1CCC(CCCC2CCC(CC3CCCC3)CC2)CC1,18,Zinc dark matter
C1CCC(CC(CC2CCCCC2)C2CCCCC2)CC1,18,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCC3)CC2)CC1,18,Zinc dark matter
C1CCC(CCC2CCC3CCCC3C2)C1,18,Zinc dark matter
C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,18,Zinc dark matter
C1CCC(CCC(CCC(CC2CCCCC2)C2CCCCC2)CC2CCCCC2)CC1,18,Zinc dark matter
C1CCC(CCC2CCC(CCC3CCCCC3)C2)CC1,18,Zinc dark matter
C1CCC(CC2CCC3CCCCC3C2)C1,18,Zinc dark matter
C1CCC(CCC2CCCC2C2CCCC2)CC1,18,Zinc dark matter
C1CCC(CCCC2CCCC(C3CCCC3)C2)C1,18,Zinc dark matter
C1CCC(C2CCC(CC3CCCC(C4CCCCC4)C3)C2)CC1,18,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCC3)C2)CC1,17,Zinc dark matter
C(CCC1CCCC1)CCC1CCC(C2CCCCC2)C1,17,Zinc dark matter
C(CCCC1CCCC1)CCC1CCCC1,17,Zinc dark matter
C1CCC(CC2CCC(C3CCCCC3)C2C2CCCCC2)CC1,17,Zinc dark matter
C1CCC(C2CCCC2C2CCCC2)CC1,17,Zinc dark matter
C1CCC2CC(C3CCCC3)CCC2C1,17,Zinc dark matter
C1CCC(CCC(CC2CCCCC2)C2CCCCC2)CC1,17,Zinc dark matter
C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1,17,Zinc dark matter
C1CCC(CC2CCC(CCC3CCCC3)C2)CC1,17,Zinc dark matter
C1CCC1,17,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1,17,Zinc dark matter
C1CCC(CCC2CCC(CC3CCCC3)CC2)CC1,17,Zinc dark matter
C1CCC(C2CCC(C3CCCCC3)C2C2CCCC2)CC1,16,Zinc dark matter
C1CCC(CCCC2CCCC3CCCC23)CC1,16,Zinc dark matter
C1CCC(CCCCC2CCCC(C3CCCC3)C2)CC1,16,Zinc dark matter
C1CCC(C2C3CCCCC3CC3CCCCC32)CC1,16,Zinc dark matter
C1CCC(CCC2CC3CCCCC3CC2C2CC3CCCCC3C2)CC1,16,Zinc dark matter
C1CCC(C2CC3CCC(C4CCCCC4)C3C2)CC1,16,Zinc dark matter
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,16,Zinc dark matter
C1CCC(C2CCCCC2CC2CCCC2)CC1,16,Zinc dark matter
C1CCC2C(C1)CCC1C3CCCC3CCC21,16,Zinc dark matter
C1CCC(C2CCC(CCCC3CCCC3)CC2)CC1,16,Zinc dark matter
C1CCC(C2CCC(CC3CCC(C4CCCCC4)C3)C2)CC1,16,Zinc dark matter
C1CCC(CCCC2CCC3CCCC3C2)C1,16,Zinc dark matter
C1CCC(CC2CC3CCCCC3C2)C1,15,Zinc dark matter
C1CC2C3CCC(C3)C2C1,15,Zinc dark matter
C1CCC(CCC2CC3CCC2C3)CC1,15,Zinc dark matter
C1CCC(CCC2CCC3C(C2)CC2CCCCC23)CC1,15,Zinc dark matter
C1CCC(CCC2CCCC(CC3CCCC3)C2)CC1,15,Zinc dark matter
C1CCC(CC2CCC(C3CCCC3)C2)CC1,15,Zinc dark matter
C1CCC(C2CCCC2CCC2CCCC2)CC1,15,Zinc dark matter
C1CCC(CCCCC2CCCC(C3CCCC3)C2)C1,14,Zinc dark matter
C1CCC(CCCCC2CCC3CCCC3C2)C1,14,Zinc dark matter
C1CC2CCC(C1)C2,14,Zinc dark matter
C1CCC(CCCC2CCCC3CCCCC32)C1,14,Zinc dark matter
C1CCC(CC2CCC(CCCC3CCCC3)C2)CC1,14,Zinc dark matter
C1CCC(CC2CCC(CC3CCCC3)C2)CC1,14,Zinc dark matter
C1CCC(CCC2CCC(CC3CCCCC3)C2C2CCCCC2)CC1,14,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCCC3)CC2)CC1,14,Zinc dark matter
C1CCC(CCC(C2CCCCC2)C2CCCC2)CC1,14,Zinc dark matter
C1CCC(C2CCC(CCC3CCCC3)CC2)CC1,14,Zinc dark matter
C1CCC(CCC2CCCC(CCC3CCCCC3)C2)CC1,14,Zinc dark matter
C(CCCC1CCC2CCCCC2C1)CCC1CCCCC1,14,Zinc dark matter
C1CCC(CCC2CCC(CC3CC4CCCC(C5CCCCC5)C4C3)CC2)CC1,14,Zinc dark matter
C1CCC(CCCC2CCCC(C3CCCC3)C2)CC1,14,Zinc dark matter
C1CCC2CC3CCCC3CC2C1,14,Zinc dark matter
C1CCC(CC2CC2)CC1,13,Zinc dark matter
C1CCC(CCCC(C2CCCCC2)C2CCCC2)CC1,13,Zinc dark matter
C1CCC(CCCC2CCCC2C2CCCC2)C1,13,Zinc dark matter
C1CCC(C2CCC2)CC1,13,Zinc dark matter
C1CCC(CC2CCCC3CCCC32)CC1,13,Zinc dark matter
C1CCC(CCC2CCCC(C3CCCC3)C2)C1,13,Zinc dark matter
C(CCCCC1CCCCC1)CCCCC1CCCCC1,13,Zinc dark matter
C1CCC(CC2CCC2)CC1,13,Zinc dark matter
C1CCC(CCCCCC2CCC(C3CCCC3)C2)CC1,13,Zinc dark matter
C1CCC(C2CCC(CC3CCC4CCCC4C3)C2)CC1,13,Zinc dark matter
C1CCC(CC2CCC(CC3CCC(C4CCCCC4)C3)C2)CC1,13,Zinc dark matter
C1CCC(C2CCC3CC4CCCCC4CC32)CC1,13,Zinc dark matter
C1CCC(CCC2CCC(CC3CCC(C4CCCCC4)C3)CC2)CC1,13,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCCC3)C2C2CCCCC2)CC1,13,Zinc dark matter
C1CCC(C2CC3CCCCC3C2)C1,13,Zinc dark matter
C(CCC1CCCC1)CCC1CCC2CCCC2C1,13,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCCC3)C2C2CCC(C3CCCCC3)C2)CC1,13,Zinc dark matter
C1CCC(CCC2CCCC2CC2CCCCC2)CC1,13,Zinc dark matter
C1CCC(CCC2CCC(C3CCCC3)C2)C1,13,Zinc dark matter
C1CCC(CCC2CCC3CCCCC32)C1,12,Zinc dark matter
C1CCC(CCCCCC2CCC(C3CCCC3)CC2)CC1,12,Zinc dark matter
C1CCC(C2CC3CCCC3C2)CC1,12,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCC3)CC2)C1,12,Zinc dark matter
C(CCCC1CCC2CCCC2C1)CCC1CCCCC1,12,Zinc dark matter
C1CCC(CCC2CCC(CCC3CCCC3)CC2)CC1,12,Zinc dark matter
C1CCC(CC2CCC3(CCCC3)CC2)CC1,12,Zinc dark matter
C1CCC(CCC2CCCCC2C2CCCC2)CC1,12,Zinc dark matter
C1CCC(CCC2CCCCC2CC2CC3CCCC(C4CCCCC4)C3C2)CC1,12,Zinc dark matter
C1CCC2C(C1)CC1CCCC12,12,Zinc dark matter
C1CCC(C2CC(CC3CCCC3)C(C3CCCCC3)C2)CC1,12,Zinc dark matter
C(CCC1CCCC1)CCC1CCC2CCCCC2C1,12,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCC3)C2)C1,12,Zinc dark matter
C1CCC(CC2CCC(CC3CCCC(C4CCCCC4)C3)CC2)CC1,12,Zinc dark matter
C1CCC(C2CCCC3CC4CCCCC4C32)CC1,12,Zinc dark matter
C1CCC(C2C3CCCCC3CC3CCCC32)CC1,12,Zinc dark matter
C(CCC1CCCC1)CCC1CCC2CCCCC12,12,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCC3)CC2)C1,12,Zinc dark matter
C(CCCC1CC2CCCCC2C1)CCC1CCCCC1,12,Zinc dark matter
C1CCC(CCCCC(C2CCCCC2)C2CCCCC2)CC1,12,Zinc dark matter
C1CCC(CCC2CCC(CCC3CCCC3)C2)CC1,12,Zinc dark matter
C1CCC(CC2CCCC2C2CCCC2)C1,12,Zinc dark matter
C1CCC(CCCCC2CCC(CC3CCCCC3)C2)CC1,12,Zinc dark matter
C1CCC(CCCC2CCCC(CCC3CCCCC3)C2)CC1,11,Zinc dark matter
C1CCC(CC2CCC3C(C4CCCCC4)CCCC23)CC1,11,Zinc dark matter
C(CCC1CCCC1)CCC1CC2CCCCC2C1,11,Zinc dark matter
C1CCC(CCC2CCC(CC3CCCC3)C2)CC1,11,Zinc dark matter
C1CCC(CCCCC2CCCC3CCCC23)CC1,11,Zinc dark matter
C1CCC(CCC2CCCCC2C2CCCCC2)CC1,11,Zinc dark matter
