Murcko_scafold,count,source
O=C1NC(=S)S/C1=C/c1cn(-c2ccccc2)nc1-c1ccccc1,4,Zinc dark matter
O=C(COc1ccc(/C=C2\SC(=S)NC2=O)cc1)Nc1ccccc1,4,Zinc dark matter
O=C1N[C@H](c2ccccc2)C(=Cc2ccccc2)C1=O,4,Zinc dark matter
O=C1C=C(S(=O)(=O)c2ccccc2)[C@@H](c2ccccc2)N1c1ccccc1,4,Zinc dark matter
O=C1C[C@@H](c2ccccc2)n2c(nc3ccccc32)N1,4,Zinc dark matter
N=c1[nH]c(C2CC2)cc(=Nc2ccccc2)[nH]1,4,Zinc dark matter
O=C(N[C@@H]1C(=O)N/[N+](=C\c2ccccc2)[C@H]1c1ccccc1)c1ccccc1,4,Zinc dark matter
O=C(CCc1ccccc1)Nc1ccccc1,4,Zinc dark matter
C(=Nc1ccccc1)c1ccccc1,4,Zinc dark matter
O=C(C=Cc1ccn(-c2ccccc2)c1)Nc1ccccc1,4,Zinc dark matter
O=C(Nc1ccccc1)[C@H]1CC(=O)N(c2ccccc2)C1,4,Zinc dark matter
C1COCO1,4,Zinc dark matter
O=c1/c(=C/c2ccc(OCc3ccccc3)cc2)sc2n1[C@H](c1ccccc1)C=CN=2,4,Zinc dark matter
N=C1/C(=C\c2ccn(-c3ccccc3)c2)C(=O)N=C2SC=NN12,4,Zinc dark matter
c1csc(N2CCCCC2)n1,4,Zinc dark matter
c1cnc2[nH]ncc2c1,4,Zinc dark matter
O=C1C[C@@H](c2ccccc2)C=C2SCN(c3ccccc3)CN12,4,Zinc dark matter
c1n[nH]c2c1CCCC2,4,Zinc dark matter
N=C1S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,4,Zinc dark matter
O=C(COc1ccccc1)N(Cc1ccccc1)Cc1ccco1,4,Zinc dark matter
O=C1/C(=C\c2ccccc2)SC(=S)N1c1ccccc1,4,Zinc dark matter
O=C1/C(=C/c2ccccc2)Oc2ccccc21,4,Zinc dark matter
O=c1/c(=C\c2ccccc2)sc2n1[C@H](c1ccccc1)C=CN=2,4,Zinc dark matter
c1ccc(N2CCCC2)cc1,4,Zinc dark matter
O=C(NCc1ccccc1)[C@@H]1CN(S(=O)(=O)c2ccccc2)c2ccccc2O1,4,Zinc dark matter
O=C(Nc1ccccc1)NC1CCCCC1,4,Zinc dark matter
O=C(COc1ccccc1)Nc1cccs1,4,Zinc dark matter
O=C1N[C@@H](c2ccccc2)/C(=C/c2ccccc2)C1=O,4,Zinc dark matter
O=C1c2ccccc2[SH+]c2ccccc2N1Cc1ccccc1,4,Zinc dark matter
N=C1S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,4,Zinc dark matter
O=C(c1ccccc1)N1CCOCC1,4,Zinc dark matter
C1=C[C@H](c2ccccc2)c2cn[nH]c2O1,4,Zinc dark matter
c1ccc([C@H]2CCNC2)cc1,4,Zinc dark matter
c1cc2n(n1)CCNC2,4,Zinc dark matter
O=C(COC(=O)[C@H]1CC(=O)N(c2ccccc2)C1)Nc1ccccc1,4,Zinc dark matter
c1ccc(CNCC2CCOCC2)cc1,4,Zinc dark matter
O=C(NCc1ccccc1)[C@H]1CNc2ccccc2O1,4,Zinc dark matter
O=C(/N=C(/NCc1cn[nH]c1)Nc1ccccc1)c1ccccc1,4,Zinc dark matter
c1ccc([C@@H]2C[C@@H](c3ccccc3)n3ncnc3N2)cc1,4,Zinc dark matter
O=C(N/N=C/c1ccccc1)C(=O)Nc1ccccc1,4,Zinc dark matter
O=C(/N=c1\[nH]c2ccccc2s1)c1ccccc1,4,Zinc dark matter
c1ccc(Cc2c[nH]c3ccccc23)cc1,4,Zinc dark matter
c1ccc(-c2ncco2)cc1,4,Zinc dark matter
C1CSCCN1,4,Zinc dark matter
O=C1N[C@H](c2ccccc2)Nc2ccccc21,4,Zinc dark matter
O=S(=O)(NC1CCCC1)c1ccccc1,4,Zinc dark matter
O=C(CN1C(=O)S/C(=C/c2ccc(-c3ccccc3)o2)C1=O)Nc1ccccc1,4,Zinc dark matter
O=C(CSc1nncs1)Nc1ccccc1,4,Zinc dark matter
O=c1c(Oc2ccccc2)coc2ccccc12,4,Zinc dark matter
O=C(CNc1ccccc1)NCCSCc1ccccc1,4,Zinc dark matter
c1ccn2cnnc2c1,4,Zinc dark matter
O=C(c1ccccc1)N(c1ccccc1)[C@H]1C=CS(=O)(=O)C1,4,Zinc dark matter
O=c1ccc2ccccc2[nH]1,4,Zinc dark matter
O=C(/C=C/c1ccc(-c2ccccc2)o1)NC(=S)Nc1ccccc1,4,Zinc dark matter
O=C(NCc1csc(COc2ccccc2)n1)c1ccccc1,4,Zinc dark matter
c1ccc(-n2cnnn2)cc1,4,Zinc dark matter
C1=C(c2ccccc2)Nc2ncnn2[C@@H]1c1ccccc1,4,Zinc dark matter
O=S(=O)(c1ccccc1)[C@H]1C[C@H]1c1ccccc1,4,Zinc dark matter
c1ccc(OCc2nccs2)cc1,4,Zinc dark matter
C1=C(c2ccccc2)Nc2ncnn2[C@H]1c1ccccc1,4,Zinc dark matter
N=c1[nH]c(-c2ccccn2)cc(=Nc2ccccc2)[nH]1,4,Zinc dark matter
O=C1C=C(Nc2ccccc2)S/C1=C\c1ccccc1,4,Zinc dark matter
O=S1(=O)CC[C@@H](NS(=O)(=O)c2ccccc2)C1,4,Zinc dark matter
O=C1C[C@@H](c2nc3ccccc3n2CCCOc2ccccc2)CN1c1ccccc1,4,Zinc dark matter
O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccccc2)cc1,4,Zinc dark matter
O=C(OCC(=O)N1CCCCC1)c1ccccc1,4,Zinc dark matter
O=C(c1cnn(-c2ccccc2)c1)N1CCCCC1,4,Zinc dark matter
c1ccc(-n2cccn2)nc1,4,Zinc dark matter
O=C(CCN1C(=S)N[C@H](c2ccccn2)[C@H]1c1cccn1-c1ccccc1)Nc1ccccc1,4,Zinc dark matter
O=C(COc1ccccc1)N(Cc1ccccc1)[C@@H]1CCS(=O)(=O)C1,4,Zinc dark matter
c1ccc(OCc2nnc[nH]2)cc1,4,Zinc dark matter
