Feature,Importance
Bit 1030,0.000540664
Bit 1973,0.0005402659
Bit 234,0.000540126
Bit 1485,0.0005399944
Bit 1828,0.0005397397
Bit 1814,0.00053972413
Bit 1202,0.0005392412
Bit 1927,0.00053884985
Bit 1984,0.00053867145
Bit 696,0.00053812884
Bit 611,0.00053737155
Bit 1441,0.0005368438
Bit 1736,0.0005365773
Bit 1207,0.0005363345
Bit 648,0.00053607073
Bit 1932,0.00053597894
Bit 433,0.00053534703
Bit 1918,0.00053524034
Bit 1720,0.0005351499
Bit 1635,0.00053509045
Bit 1912,0.00053371955
Bit 1601,0.0005332887
Bit 651,0.00053288095
Bit 1054,0.0005327641
Bit 1209,0.00053272623
Bit 508,0.00053213903
Bit 2025,0.0005315044
Bit 1284,0.0005299176
Bit 1072,0.0005297817
Bit 1949,0.00052967534
Bit 2028,0.00052907126
Bit 563,0.00052888494
Bit 634,0.0005287463
Bit 1705,0.00052813865
Bit 1481,0.0005275726
Bit 544,0.0005268436
Bit 59,0.00052649796
Bit 1676,0.0005262738
Bit 861,0.00052621023
Bit 1905,0.00052573025
Bit 308,0.00052569614
Bit 1633,0.00052568846
Bit 532,0.0005245728
Bit 1931,0.00052441814
Bit 363,0.0005226364
Bit 1216,0.0005220627
Bit 1919,0.00052198477
Bit 245,0.00052153954
Bit 1812,0.0005214739
Bit 510,0.0005213003
Bit 1895,0.0005205299
Bit 304,0.0005194657
Bit 1827,0.00051925477
Bit 1815,0.0005187315
Bit 1506,0.00051857
Bit 967,0.0005181452
Bit 1642,0.00051771867
Bit 84,0.00051764736
Bit 1206,0.00051750155
Bit 1329,0.0005167271
Bit 940,0.0005166769
Bit 1358,0.0005165524
Bit 443,0.00051571935
Bit 480,0.00051561306
Bit 1073,0.0005155733
Bit 2026,0.00051551725
Bit 112,0.0005147916
Bit 614,0.00051439577
Bit 1090,0.0005138651
Bit 783,0.0005130471
Bit 822,0.00051302405
Bit 1341,0.00051292666
Bit 1139,0.00051188056
Bit 1103,0.00051120523
Bit 915,0.0005111425
Bit 58,0.0005110258
Bit 390,0.0005109995
Bit 641,0.00051086996
Bit 520,0.00051076745
Bit 378,0.0005105047
Bit 1658,0.0005103115
Bit 970,0.00050999323
Bit 1166,0.0005097451
Bit 839,0.0005096582
Bit 586,0.0005095775
Bit 1879,0.00050928805
Bit 1010,0.00050913007
Bit 887,0.0005089407
Bit 1383,0.0005089049
Bit 702,0.00050885
Bit 1135,0.000507862
Bit 1496,0.0005077577
Bit 1471,0.0005073455
Bit 1824,0.0005072205
Bit 1106,0.0005070653
Bit 171,0.00050629803
Bit 1251,0.0005062114
Bit 243,0.00050550076
Bit 557,0.00050494686
Bit 811,0.00050374836
Bit 1606,0.00050345773
Bit 368,0.000502931
Bit 320,0.00050236954
Bit 1537,0.00050234026
Bit 805,0.0005016306
Bit 1789,0.00050146674
Bit 878,0.0005013457
Bit 1283,0.0005011293
Bit 610,0.00050101004
Bit 1183,0.0005009292
Bit 293,0.00050090934
Bit 907,0.00050076854
Bit 662,0.00050032226
Bit 1813,0.00049997825
Bit 1785,0.00049979915
Bit 1234,0.0004994254
Bit 719,0.0004991247
Bit 1664,0.0004989796
Bit 1224,0.00049888354
